home_off_pass_ypg,home_def_pass_ypg,home_off_rush_ypg,home_def_rush_ypg,home_off_ppg,home_def_ppg,home_win_pct,away_off_pass_ypg,away_def_pass_ypg,away_off_rush_ypg,away_def_rush_ypg,away_off_ppg,away_def_ppg,away_win_pct,played,home_team,away_team,home_alias,away_alias,homePts,awayPts,winner,totalPts,home_passing_yards,away_passing_yards,home_rushing_yards,away_rushing_yards,week,season,fk
260.7142857142857,243.42857142857142,87.85714285714286,107,15.857142857142858,24.142857142857142,0.14285714285714285,224.83333333333334,197.83333333333334,74.33333333333333,81.66666666666667,21.5,14,0.8333333333333334,True,Bears,Vikings,CHI,MIN,20,10,home,30,245,201,158,57,8,2016,Bears_Vikings_8_2016
273.3333333333333,282,121,89.5,26.833333333333332,29.333333333333332,0.16666666666666666,253.85714285714286,193,125.42857142857143,96.57142857142857,22.714285714285715,15.714285714285714,0.5,True,Panthers,Cardinals,CAR,ARI,30,20,home,50,208,316,141,24,8,2016,Panthers_Cardinals_8_2016
240.33333333333334,266.1666666666667,161.16666666666666,92.16666666666667,26.5,17.833333333333332,0.8333333333333334,210.66666666666666,204.33333333333334,111.5,102.66666666666667,26,14.666666666666666,0.6666666666666666,True,Cowboys,Eagles,DAL,PHI,29,23,home,52,273,194,187,97,8,2016,Cowboys_Eagles_8_2016
228,285.7142857142857,120.57142857142857,139.85714285714286,18.571428571428573,29.571428571428573,0,231.85714285714286,282,101.42857142857143,74.85714285714286,17,25.714285714285715,0.2857142857142857,True,Browns,Jets,CLE,NYJ,28,31,away,59,339,222,68,171,8,2016,Browns_Jets_8_2016
319,294.2857142857143,114.57142857142857,91.85714285714286,32.714285714285715,28.428571428571427,0.5714285714285714,239.33333333333334,242.16666666666666,104.83333333333333,71.83333333333333,23.333333333333332,20.5,0.6666666666666666,True,Falcons,Packers,ATL,GB,33,32,home,65,277,223,90,108,8,2016,Falcons_Packers_8_2016
276.85714285714283,236.14285714285714,115.71428571428571,118.42857142857143,20,23.142857142857142,0.42857142857142855,277.7142857142857,243.57142857142858,113.14285714285714,119.71428571428571,22.714285714285715,23.142857142857142,0.5714285714285714,True,Bengals,Redskins,CIN,WAS,27,27,tie,54,263,446,152,100,8,2016,Bengals_Redskins_8_2016
175.14285714285714,235.71428571428572,152.28571428571428,125,26.714285714285715,18.714285714285715,0.5714285714285714,260.85714285714283,258.7142857142857,122.71428571428571,92.28571428571429,25.142857142857142,15.285714285714286,0.8571428571428571,True,Bills,Patriots,BUF,NE,25,41,away,66,209,285,167,72,8,2016,Bills_Patriots_8_2016
250,237.5,115.33333333333333,113.16666666666667,21.333333333333332,26.5,0.5,254.71428571428572,302.14285714285717,114.85714285714286,128.28571428571428,26.428571428571427,25.571428571428573,0.7142857142857143,True,Buccaneers,Raiders,TB,OAK,24,30,away,54,168,498,102,128,8,2016,Buccaneers_Raiders_8_2016
217.71428571428572,250.57142857142858,143.42857142857142,87.42857142857143,20.857142857142858,23,0.42857142857142855,247.33333333333334,215.33333333333334,76.66666666666667,109.83333333333333,19.5,26.666666666666668,0.3333333333333333,True,Titans,Jaguars,TEN,JAC,36,22,home,58,280,322,214,48,8,2016,Titans_Jaguars_8_2016
285.125,285.375,116.5,125,26.875,25.375,0.75,221.625,183.875,104.75,117.375,24.25,17,0.75,True,Raiders,Broncos,OAK,DEN,30,20,home,50,179,266,218,33,9,2016,Raiders_Broncos_9_2016
271.75,275.125,94,86,28.125,26.5,0.375,225.5,259.5,152.25,82.5,22.75,22.875,0.5,True,Chargers,Titans,SD,TEN,43,35,home,78,268,313,208,80,9,2016,Chargers_Titans_9_2016
238.28571428571428,274.7142857142857,113.42857142857143,115.28571428571429,21.714285714285715,27,0.42857142857142855,313.75,285.375,111.5,93.875,32.75,28.875,0.625,True,Buccaneers,Falcons,TB,ATL,28,43,away,71,326,325,70,136,9,2016,Buccaneers_Falcons_9_2016
246.14285714285714,220,86.28571428571429,81.85714285714286,19,19.857142857142858,0.42857142857142855,267.7142857142857,283.42857142857144,104.57142857142857,106.71428571428571,24.285714285714285,21.428571428571427,0.5714285714285714,True,Ravens,Steelers,BAL,PIT,21,14,home,35,224,241,50,36,9,2016,Ravens_Steelers_9_2016
241.875,277.75,114,143.75,19.75,29.75,0,245,255.85714285714286,164.85714285714286,92.85714285714286,26.857142857142858,18.571428571428573,0.8571428571428571,True,Browns,Cowboys,CLE,DAL,10,35,away,45,177,255,45,168,9,2016,Browns_Cowboys_9_2016
161.42857142857142,222.42857142857142,128.57142857142858,185.14285714285714,20.571428571428573,31.285714285714285,0.14285714285714285,326.85714285714283,286.7142857142857,88.14285714285714,110.71428571428571,28.714285714285715,30.714285714285715,0.42857142857142855,True,49ers,Saints,SF,NO,23,41,away,64,393,323,93,248,9,2016,49ers_Saints_9_2016
